OBJECTID,Join_Count,TARGET_FID,stop_id,stop_name,stop_lat,stop_lon,suburb
1361,1,1360,4915,Te Herenga Waka â€“ Victoria University of Wellington Kelburn - Stop A,-41.28818818,174.7680896,Kelburn
1365,1,1364,7161,The Esplanade (opposite 182),-41.34499882,174.7772448,Island Bay
1368,1,1367,4918,Kelburn Normal School - Upland Road,-41.28702265,174.7608469,Kelburn
1369,1,1368,6160,The Esplanade (near 230),-41.34368704,174.7746992,Island Bay
1370,1,1369,5457,Mysore Street at Cockayne Road,-41.25165092,174.7852147,Khandallah
1374,1,1373,7716,Brooklyn Road opposite Washington Avenue,-41.30265533,174.7661804,Brooklyn
1377,1,1376,3958,Main Road Tawa opposite Elena Place,-41.17266683,174.8247908,Tawa
1379,1,1378,3034,Truscott Avenue opposite Fairburn Grove,-41.22618,174.795899,Johnsonville
1382,1,1381,7949,Buckley Road (near 44),-41.33274449,174.7833646,Southgate
1383,1,1382,7298,Sidlaw Street at Bowes Crescent,-41.33394445,174.8217573,Strathmore Park
1385,1,1384,7336,Queens Drive at Sutherland Road,-41.3326276,174.7908898,Lyall Bay
1389,1,1388,7911,Taranaki Street at Vivian Street,-41.29518976,174.7772055,Te Aro
1392,1,1391,3548,Newlands Road (near 76),-41.23051,174.81548,Newlands
1393,1,1392,7291,Tannadyce Street (near 63),-41.32822515,174.8245852,Strathmore Park
1394,1,1393,6725,Mills Road opposite Vennell Street,-41.31391919,174.7656561,Brooklyn
1397,1,1396,4421,Ranui Crescent at Izard Road,-41.24752611,174.7956047,Khandallah
1401,1,1400,6030,Caledonia Street (near 9) (school stop),-41.32088319,174.8104015,Miramar
1402,1,1401,7346,Airport Retail Park (opposite),-41.32650827,174.8020736,Rongotai
1403,1,1402,4429,Homebush Road (near 59),-41.24761325,174.8073027,Khandallah
1406,1,1405,7725,Mills Road at Vennell Street,-41.31356236,174.7656386,Brooklyn
1408,1,1407,7943,Rintoul Street at Luxford Street (school stop),-41.32022109,174.7777661,Berhampore
1409,1,1408,4116,Grant Road (opposite 24),-41.26852691,174.7790121,Thorndon
1415,1,1414,3600,Newlands Road (opposite 44),-41.23132657,174.8119845,Newlands
1416,1,1415,4137,Churchill Drive near Bowen Hospital,-41.25964154,174.7662305,Crofton Downs
1418,1,1417,6708,Victoria Street at Dixon Street,-41.2912197,174.7754175,Te Aro
1420,1,1419,WELL7,Wellington Station,-41.27852,174.78101,Pipitea
1421,1,1420,6534,Waipapa Road (near 101),-41.30352708,174.7971405,Hataitai
1423,1,1422,3074,Branscombe Street at Ohariu Road,-41.2159023,174.8018965,Johnsonville
1426,1,1425,6265,Nevay Road at Glenville Road,-41.30180194,174.8292892,Karaka Bays
1427,1,1426,4921,Northland Tunnel (near Putnam Street),-41.28517099,174.755081,Northland
1429,1,1428,6544,Evans Bay Parade near Weka Bay,-41.29463,174.80353,Roseneath
1432,1,1431,7028,Rongotai Road at Salek Street,-41.31915122,174.8010692,Kilbirnie
1435,1,1434,3762,Somes Crescent at Baylands Drive,-41.22497666,174.8312093,Newlands
1437,1,1436,6092,Raukawa Street at Nuku Street,-41.330867,174.8170112,Strathmore Park
1441,1,1440,6925,Manchester Street at Caprera Street,-41.32133727,174.7871157,Newtown
1442,1,1441,6763,Mitchell Street (near 38),-41.30383452,174.7597621,Brooklyn
1445,1,1444,7068,Karaka Bay Road (opposite 369),-41.30595789,174.8314895,Karaka Bays
1453,1,1452,4113,Murphy Street - Wellington Girls' College,-41.27533423,174.7797709,Thorndon
1455,1,1454,6569,Alexandra Road (near 7),-41.29585,174.7984823,Roseneath
1456,1,1455,3068,Erris Street (near 22),-41.21786386,174.7974173,Johnsonville
1457,1,1456,6545,Evans Bay Parade near Kio Bay,-41.29794,174.80499,Hataitai
1458,1,1457,6328,Onepu Road at Endeavour Street (near 95),-41.32318785,174.79553,Lyall Bay
1459,1,1458,3622,Helston Park - Helston Road,-41.21923952,174.8130823,Paparangi
1462,1,1461,6726,The Ridgeway at Ingestre Street,-41.31572685,174.7654581,Brooklyn
1464,1,1463,3536,Horokiwi Road at Bloomsbury Grove,-41.22222984,174.8290314,Newlands
1465,1,1464,5421,Everest Street at Izard Road,-41.24744538,174.7950057,Khandallah
1467,1,1466,6147,Happy Valley Road (opposite 165) (school stop),-41.33565516,174.758109,Owhiro Bay
1468,1,1467,3510,Helston Road (near 201),-41.21763562,174.8176902,Paparangi
1471,1,1470,7283,Townsend Road (near 188),-41.32170488,174.8242872,Miramar
1472,1,1471,5323,Karori Road (near 93),-41.28146038,174.7503247,Karori
1473,1,1472,3275,Westchester Drive opposite Halswater Drive,-41.20618989,174.8035664,Churton Park
1475,1,1474,WELL3,Wellington Station,-41.27838,174.78075,Pipitea
1480,1,1479,3250,Johnsonville - Stop C,-41.22326106,174.8045041,Johnsonville
1486,1,1485,6762,Todman Street at Mitchell Street (near 97),-41.30618091,174.7594669,Brooklyn
1487,1,1486,5520,Lambton Central (Brandon Street) - Stop C,-41.28325506,174.7758958,Wellington Central
1489,1,1488,3504,Helston Road at McMahon Way (near 103),-41.21715935,174.8136212,Paparangi
1490,1,1489,7294,Strathmore Community Hall - Strathmore Avenue,-41.33077605,174.8219861,Strathmore Park
1493,1,1492,6027,Rongotai Road (near 119),-41.31848387,174.7991619,Kilbirnie
1496,1,1495,7120,Rintoul Street at Stoke Street,-41.31453973,174.778209,Newtown
1497,1,1496,7039,Ferry Street at Ludlam Street,-41.32266118,174.8289702,Seatoun
1498,1,1497,7522,Grafton Road at The Crescent (near 22),-41.28931346,174.8017659,Roseneath
1500,1,1499,3078,Ohariu Road opposite Johnsonville School,-41.21837469,174.8050659,Johnsonville
1501,1,1500,5508,Lambton Quay at Hunter Street,-41.28500028,174.7756095,Wellington Central
1502,1,1501,5316,Glenmore Street (near 147),-41.2855592,174.7591515,Kelburn
1503,1,1502,TAKA2,Takapu Road Station,-41.18529832,174.8282579,Tawa
1504,1,1503,6771,Mitchell Street at Phoenix Way,-41.3106127,174.758272,Brooklyn
1509,1,1508,7141,Frobisher Street (near 44),-41.34061665,174.763501,Island Bay
1514,1,1513,7345,Rongotai - Tirangi Road (opposite 95),-41.324591,174.802897,Rongotai
1515,1,1514,7338,Lyall Bay - Hungerford Road (near 2),-41.33774275,174.7921056,Lyall Bay
1518,1,1517,7284,Seatoun Heights Road (near 21),-41.32181397,174.8256011,Miramar
1520,1,1519,6023,Crawford Road at Wellington Road,-41.31346353,174.7895288,Kilbirnie
1522,1,1521,4330,Karori Road at Tringham Street,-41.28674901,174.7288185,Karori
1525,1,1524,5408,Perth Street at Crofton Road,-41.25468888,174.7751521,Ngaio
1526,1,1525,6041,Dundas Street at Monro Street (near 55),-41.32312724,174.833643,Seatoun
1527,1,1526,4457,Mysore Street (opposite 138),-41.25165277,174.7850954,Khandallah
1529,1,1528,5350,Montgomery Avenue at Caldwell Street,-41.27947481,174.7282464,Karori
1531,1,1530,6217,Hataitai - Stop B,-41.30387144,174.7938613,Hataitai
1534,1,1533,4115,Park Street at Burnell Avenue,-41.27132139,174.7771548,Thorndon
1535,1,1534,6522,Grafton Road (near 21),-41.28985553,174.8016614,Roseneath
1538,1,1537,4322,Chaytor Street opposite Joll Street,-41.28253896,174.7524773,Karori
1540,1,1539,7770,Mitchell Street at Hoover Street (near 138),-41.30871649,174.7585794,Brooklyn
1544,1,1543,6137,Severn Street (near 55) (school stop),-41.34128194,174.7671045,Island Bay
1545,1,1544,5519,Featherston Street at Waring Taylor Street,-41.28224,174.77768,Wellington Central
1546,1,1545,7540,Evans Bay Parade (near 24),-41.28829131,174.8037679,Roseneath
1548,1,1547,6071,Karaka Bay Road (near 499),-41.29789895,174.8322914,Karaka Bays
1553,1,1552,7723,Washington Avenue at Connaught Terrace,-41.30942076,174.7655269,Brooklyn
1555,1,1554,3422,Mark Avenue near Paparangi Shops,-41.21403051,174.817829,Paparangi
1556,1,1555,3052,McLintock Street opposite Meadowcroft Grove,-41.2253025,174.794042,Johnsonville
1559,1,1558,7264,Nevay Road (near 164),-41.30023005,174.8291792,Karaka Bays
1565,1,1564,3458,Mark Avenue (near 40),-41.21232928,174.8171855,Paparangi
1568,1,1567,7542,Evans Bay Parade (near 94),-41.29145743,174.8028997,Roseneath
1570,1,1569,4931,Mairangi Road (near 159),-41.26855217,174.7639476,Wilton
1571,1,1570,7019,Riddiford Street at Newtown Shops (opposite 157),-41.312675,174.779413,Newtown
1574,1,1573,7160,The Esplanade (opposite 222),-41.34360069,174.7744578,Island Bay
1575,1,1574,3824,Kanpur Road at Jaunpur Crescent,-41.23549684,174.7930082,Broadmeadows
1579,1,1578,7013,Cambridge Terrace at Barker Street,-41.298527,174.781075,Te Aro
1580,1,1579,7041,Dundas Street at Monro Street (near 68),-41.32338781,174.8342477,Seatoun
1582,1,1581,3901,Woodburn Drive (hail and ride) (school stop),-41.173519,174.844769,Takapu Valley
1585,1,1584,5313,Glenmore Street at Botanic Garden,-41.28057112,174.7672564,Kelburn
1588,1,1587,4306,Gipps Street at Cooper Street (school stop),-41.28803358,174.7445295,Karori
1592,1,1591,5348,Montgomery Avenue (near 35),-41.28094608,174.7307285,Karori
1596,1,1595,3256,Ngauranga - Hutt Road (next to motorway),-41.24820366,174.8123829,Ngauranga
1602,1,1601,5418,Clutha Avenue at Nicholson Road (near 6),-41.24780093,174.7895256,Khandallah
1603,1,1602,6711,Victoria Street at Abel Smith Street,-41.29515569,174.7723426,Te Aro
1604,1,1603,5010,Lambton Quay at Cable Car Lane,-41.283856,174.775378,Wellington Central
1605,1,1604,TALA,Talavera - Cable Car Station,-41.28479274,174.7712854,Kelburn
1607,1,1606,5486,Hutt Road opposite School Road,-41.261152,174.788776,Kaiwharawhara
1609,1,1608,5324,Karori Road at Lancaster Street,-41.28224548,174.7463543,Karori
1613,1,1612,7255,Akaroa Drive at Waiwera Crescent,-41.30843772,174.8171049,Maupuia
1615,1,1614,3400,Helston Road at Petherick Crescent (near 19),-41.22144725,174.8101608,Johnsonville
1619,1,1618,3810,Malvina Major Retirement Village,-41.2337925,174.798331,Johnsonville
1620,1,1619,6915,Wallace Street at Howard Street,-41.30459018,174.7750718,Mount Cook
1623,1,1622,6221,Hamilton Road at Wellington Road (near 115),-41.31169948,174.7936844,Hataitai
